,address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct,lon,lat
567742,Windelsvej 28,5000 Odense C,360000,1992-12-04,Alm. Salg,,4.0,Villa,95.0,1924.0,0.0,10.391769,55.415621
567743,Bøgebjergvej 12,5000 Odense C,655000,1992-11-27,Alm. Salg,5413.0,4.0,Villa,121.0,1934.0,0.0,10.39285,55.411877
567744,Windelsvej 37,5000 Odense C,640000,1992-11-25,Alm. Salg,4324.0,6.0,Villa,148.0,1935.0,0.0,10.393368,55.416377
567745,Drejøgade 21,5000 Odense C,575000,1992-11-24,Alm. Salg,7012.0,3.0,Villa,82.0,1938.0,0.0,10.398223,55.41896
567746,Vendersvej 29,5000 Odense C,350000,1992-11-14,Alm. Salg,4545.0,4.0,Villa,77.0,1948.0,0.0,10.417827,55.410032
567747,Bøgebjergvej 5,5000 Odense C,376250,1992-11-11,Fam. Salg,2894.0,6.0,Villa,130.0,1923.0,0.0,10.393447,55.411999
567748,Dronningensgade 6B,5000 Odense C,560000,1992-11-07,Alm. Salg,6363.0,3.0,Lejlighed,88.0,1884.0,0.0,10.378386,55.397643
567749,Isgårdsvej 19,5000 Odense C,380000,1992-11-04,Alm. Salg,4086.0,4.0,Villa,93.0,1963.0,0.0,10.408905,55.408678
567750,Ny Kongevej 24,5000 Odense C,375000,1992-10-29,Alm. Salg,2737.0,7.0,Villa,137.0,1927.0,0.0,10.36405,55.401845
567751,Sophie Breums Vej 12,5000 Odense C,755000,1992-10-28,Alm. Salg,5279.0,6.0,Villa,143.0,1935.0,0.0,10.396324,55.40794
567752,Palnatokesvej 17,5000 Odense C,655000,1992-10-27,Alm. Salg,4068.0,6.0,Villa,161.0,1927.0,0.0,10.405476,55.397852
567753,Prins Valdemars Vej 13,5000 Odense C,239523,1992-10-26,Fam. Salg,,6.0,Villa,188.0,1930.0,0.0,10.361567,55.400411
567754,Åløkke Allé 15,5000 Odense C,580000,1992-10-20,Alm. Salg,2900.0,8.0,Villa,200.0,1907.0,0.0,10.368402,55.4021
567755,Windelsvej 67,5000 Odense C,695000,1992-10-18,Alm. Salg,4542.0,6.0,Villa,153.0,1937.0,0.0,10.395593,55.418165
567756,Emilievej 27,5000 Odense C,695000,1992-10-12,Alm. Salg,5186.0,6.0,Villa,134.0,1955.0,0.0,10.40459,55.417131
567757,"Holmehusvej 72, ST. TH",5000 Odense C,176985,1992-10-07,Alm. Salg,2854.0,2.0,Lejlighed,62.0,1943.0,0.0,10.407687,55.409474
567758,Ny Kongevej 31,5000 Odense C,820000,1992-10-06,Alm. Salg,,6.0,Villa,174.0,1930.0,0.0,10.362532,55.402259
567759,Tranevej 15,5000 Odense C,685000,1992-10-03,Alm. Salg,4176.0,6.0,Villa,164.0,1932.0,0.0,10.403354,55.408281
567760,"Skt. Jørgens Gade 90, 2. TH",5000 Odense C,315000,1992-10-02,Alm. Salg,6176.0,2.0,Lejlighed,51.0,1936.0,0.0,,
567761,Slotsbakkevænget 16,5000 Odense C,610000,1992-09-23,Alm. Salg,3986.0,4.0,Villa,153.0,1915.0,0.0,10.376003,55.414722
567762,Sandhusvej 70,5000 Odense C,575000,1992-09-17,Fam. Salg,3382.0,5.0,Villa,170.0,1950.0,0.0,10.414458,55.416043
567763,Skt. Jørgens Gade 77,5000 Odense C,545000,1992-09-17,Alm. Salg,3949.0,6.0,Lejlighed,138.0,1897.0,0.0,,
567764,"Sdr. Boulevard 254, ST",5000 Odense C,440000,1992-09-16,Alm. Salg,3893.0,4.0,Lejlighed,113.0,1916.0,0.0,10.37157,55.380929
567765,Nørrevoldgade 31,5000 Odense C,510000,1992-09-15,Alm. Salg,3984.0,4.0,Dobbelthus,128.0,1912.0,0.0,10.388778,55.408505
567766,Skt. Jørgens Gade 181,5000 Odense C,257419,1992-09-14,Fam. Salg,1865.0,6.0,Villa,138.0,1885.0,0.0,,
567767,"Nyborgvej 10D, 2. 3",5000 Odense C,350000,1992-09-14,Alm. Salg,6481.0,2.0,Lejlighed,54.0,1989.0,0.0,10.401811,55.394594
567768,Segelckesvej 5,5000 Odense C,829600,1992-09-07,Alm. Salg,5185.0,6.0,Villa,160.0,1930.0,0.0,10.400924,55.390339
567769,"Skibhusvej 99B, 1",5000 Odense C,550000,1992-09-02,Alm. Salg,,7.0,Lejlighed,191.0,1902.0,0.0,10.39385,55.408755
567770,Windelsvej 76,5000 Odense C,650000,1992-08-27,Alm. Salg,4482.0,5.0,Villa,145.0,1937.0,0.0,10.395778,55.418785
567771,Marienlystvej 17,5000 Odense C,425000,1992-08-24,Alm. Salg,5120.0,4.0,Rækkehus,83.0,1910.0,0.0,10.398521,55.409698
567772,"Kochsgade 4, ST. TH",5000 Odense C,325000,1992-08-14,Alm. Salg,3350.0,3.0,Lejlighed,97.0,1933.0,0.0,10.391739,55.402615
567773,Sigvaldsvej 5,5000 Odense C,695000,1992-08-10,Alm. Salg,5650.0,4.0,Villa,123.0,1926.0,0.0,10.406948,55.397809
567774,Johannevej 20,5000 Odense C,300388,1992-08-04,Alm. Salg,4551.0,4.0,Villa,66.0,1925.0,0.0,10.36457,55.404215
567775,H.C. Andersens Gade 64,5000 Odense C,655000,1992-07-31,Alm. Salg,,4.0,Rækkehus,168.0,1900.0,0.0,10.392231,55.388624
567776,Palnatokesvej 23,5000 Odense C,510000,1992-07-29,Alm. Salg,5666.0,4.0,Villa,90.0,1927.0,0.0,10.40551,55.39747
567777,Døckerslundsvej 161,5000 Odense C,710000,1992-07-24,Fam. Salg,4251.0,7.0,Villa,167.0,1969.0,0.0,10.419064,55.410556
567778,"Rødegårdsvej 63, 1. TV",5000 Odense C,327800,1992-07-23,Alm. Salg,5121.0,2.0,Lejlighed,64.0,1938.0,0.0,10.405688,55.392185
567779,Rasmus Nielsens Vej 30,5000 Odense C,242034,1992-07-22,Alm. Salg,,4.0,Villa,101.0,1934.0,0.0,10.354934,55.402124
567780,Mågevej 16,5000 Odense C,361500,1992-07-17,Alm. Salg,4355.0,5.0,Villa,83.0,1927.0,0.0,10.405436,55.406625
567781,Rasmus Rasks Vej 10,5000 Odense C,375000,1992-07-14,Alm. Salg,3232.0,5.0,Rækkehus,116.0,1923.0,0.0,10.357895,55.398747
567782,Glentevej 26,5000 Odense C,620000,1992-07-08,Alm. Salg,3483.0,6.0,Villa,178.0,1925.0,0.0,10.411726,55.405571
567783,Helenevej 17,5000 Odense C,166100,1992-07-02,Alm. Salg,1866.0,4.0,Rækkehus,89.0,1922.0,0.0,10.398251,55.411577
567784,Horsetorvet 6,5000 Odense C,815000,1992-07-01,Alm. Salg,,6.0,Rækkehus,144.0,1826.0,0.0,10.386853,55.394232
567785,Marienlystvej 8,5000 Odense C,450000,1992-06-30,Alm. Salg,7500.0,3.0,Villa,60.0,1912.0,0.0,10.397791,55.408924999999996
567786,Østerbro 69,5000 Odense C,430000,1992-06-30,Alm. Salg,4673.0,3.0,Villa,92.0,1931.0,0.0,10.413673,55.400936
567787,Emilievej 18,5000 Odense C,205769,1992-06-26,Fam. Salg,1773.0,4.0,Villa,116.0,1900.0,0.0,10.404392,55.417432
567788,"Grønløkkevej 16, 1. TH",5000 Odense C,2995000,1992-06-23,Alm. Salg,39933.0,4.0,Lejlighed,75.0,1962.0,0.0,10.366534,55.396964
567789,Kongelysvej 12,5000 Odense C,655000,1992-06-19,Alm. Salg,5954.0,4.0,Villa,110.0,1954.0,0.0,10.41474,55.410189
567790,Døckerslundsvej 174,5000 Odense C,720000,1992-05-27,Fam. Salg,5106.0,4.0,Villa,141.0,1969.0,0.0,10.42052,55.411164
567791,Annasholmsgade 7,5000 Odense C,690000,1992-05-27,Alm. Salg,4569.0,5.0,Rækkehus,151.0,1908.0,0.0,10.394781,55.406751
567792,Gerthasminde 33,5000 Odense C,530000,1992-05-14,Alm. Salg,7162.0,3.0,Rækkehus,74.0,1924.0,0.0,10.376487,55.392112
567793,Dronning Olgas Vej 46,5000 Odense C,800000,1992-05-14,Fam. Salg,5517.0,6.0,Villa,145.0,1923.0,0.0,10.362169,55.402908
567794,"H. Rasmussens Vej 15, 2. TH",5000 Odense C,82393,1992-05-12,Alm. Salg,1471.0,2.0,Lejlighed,56.0,1938.0,0.0,10.40393,55.392042000000004
567795,"Christiansgade 88, ST. TH",5000 Odense C,360000,1992-05-11,Alm. Salg,5217.0,2.0,Lejlighed,69.0,1938.0,0.0,10.407414,55.396146
567796,"Guldbergsvej 12, 2. TV",5000 Odense C,465000,1992-05-11,Alm. Salg,4946.0,4.0,Lejlighed,94.0,1929.0,0.0,10.398471,55.391593
567797,Ibsensvej 26,5000 Odense C,770000,1992-05-05,Alm. Salg,4812.0,6.0,Villa,160.0,1936.0,0.0,10.402251,55.414629
567798,Victoriagade 30B,5000 Odense C,520000,1992-05-04,Alm. Salg,3333.0,5.0,Villa,156.0,1934.0,0.0,10.390887,55.413374
567799,Østerbro 78,5000 Odense C,510000,1992-05-04,Alm. Salg,4636.0,4.0,Villa,110.0,1947.0,0.0,10.414489,55.400939
567800,Sdr. Boulevard 52D,5000 Odense C,454000,1992-05-04,Alm. Salg,8254.0,2.0,Lejlighed,55.0,1988.0,0.0,10.378573,55.389587
567801,Ærøgade 12,5000 Odense C,744000,1992-05-01,Alm. Salg,5723.0,3.0,Villa,130.0,1932.0,0.0,10.395069,55.416352
567802,Overstræde 1C,5000 Odense C,827000,1992-04-29,Alm. Salg,7254.0,3.0,Rækkehus,114.0,1980.0,0.0,10.392161,55.398011
567803,Egebæksvej 23,5000 Odense C,375000,1992-04-29,Alm. Salg,3906.0,5.0,Villa,96.0,1934.0,0.0,10.392053,55.416357
567804,Karl Withs Vej 1,5000 Odense C,740000,1992-04-27,Alm. Salg,6218.0,5.0,Villa,119.0,1923.0,0.0,10.357969,55.399677
567805,Johannevej 37,5000 Odense C,710000,1992-04-24,Alm. Salg,5071.0,5.0,Villa,140.0,1931.0,0.0,10.362485,55.404084
567806,Baumgartensvej 41,5000 Odense C,535000,1992-04-22,Alm. Salg,5459.0,4.0,Villa,98.0,1925.0,0.0,10.38961,55.411068
567807,Kragsbjergvej 4,5000 Odense C,598000,1992-04-08,Alm. Salg,4784.0,5.0,Villa,125.0,1929.0,0.0,10.399012,55.392753
567808,Enighedsvej 40,5000 Odense C,467000,1992-04-07,Alm. Salg,4096.0,4.0,Villa,114.0,1977.0,0.0,10.397323,55.411145
567809,Irenevej 15,5000 Odense C,737600,1992-04-06,Alm. Salg,,7.0,Villa,163.0,1954.0,0.0,10.404757,55.416062
567810,"Holmehusvej 81, ST. TV",5000 Odense C,1626625,1992-04-06,Alm. Salg,24277.0,3.0,Lejlighed,67.0,1943.0,0.0,10.408871,55.40974
567811,Thorkildsgade 10,5000 Odense C,690000,1992-03-31,Alm. Salg,5847.0,4.0,Villa,118.0,1911.0,0.0,10.392629,55.411038
567812,Dronning Olgas Vej 8,5000 Odense C,650000,1992-03-31,Fam. Salg,4113.0,6.0,Villa,158.0,1912.0,0.0,10.366522,55.402647
567813,"Skibhusvej 177, 1. TV",5000 Odense C,375000,1992-03-31,Alm. Salg,5357.0,3.0,Lejlighed,70.0,1939.0,0.0,10.396555,55.413893
567814,"Hans Tausens Gade 13, 2. TV",5000 Odense C,610000,1992-03-23,Alm. Salg,4621.0,4.0,Lejlighed,132.0,1899.0,0.0,10.382327,55.398896
567815,"Istedvænget 4, 3. TH",5000 Odense C,585000,1992-03-06,Alm. Salg,5571.0,4.0,Lejlighed,105.0,1928.0,0.0,10.386851,55.390027
567816,Reventlowsvej 28,5000 Odense C,763452,1992-02-29,Alm. Salg,5376.0,6.0,Villa,142.0,1930.0,0.0,10.400516,55.390979
567817,"Vesterbro 75, 1. TH",5000 Odense C,261628,1992-02-28,Alm. Salg,3354.0,3.0,Lejlighed,78.0,1887.0,0.0,10.373425,55.394331
567818,Tesdorpfsvej 49,5000 Odense C,830000,1992-02-28,Alm. Salg,6974.0,5.0,Villa,119.0,1934.0,0.0,10.402408,55.389057
567819,Ærøgade 42,5000 Odense C,550000,1992-02-21,Alm. Salg,4782.0,6.0,Villa,115.0,1930.0,0.0,10.397317,55.418145
567820,"Sdr. Boulevard 58K, 1",5000 Odense C,810000,1992-02-19,Alm. Salg,7864.0,3.0,Lejlighed,103.0,1990.0,0.0,10.378386,55.389442
567821,"Klostervej 24B, 3. TV",5000 Odense C,410000,1992-02-12,Alm. Salg,4059.0,3.0,Lejlighed,101.0,1913.0,0.0,10.380805,55.398432
567822,"Henriettevej 3B, 3. TH",5000 Odense C,478750,1992-02-10,Alm. Salg,6469.0,2.0,Lejlighed,74.0,1906.0,0.0,10.394881,55.406537
567823,Windelsvej 52,5000 Odense C,375000,1992-02-06,Alm. Salg,2435.0,6.0,Villa,154.0,1936.0,0.0,10.393949,55.417326
567824,Tesdorpfsvej 17,5000 Odense C,855000,1992-02-05,Alm. Salg,4857.0,6.0,Villa,176.0,1938.0,0.0,10.39859,55.387783
567825,"Albanigade 7, 1",5000 Odense C,440000,1992-01-29,Alm. Salg,2894.0,5.0,Lejlighed,152.0,2010.0,0.0,10.393098,55.39465
567826,Annasholmsgade 36,5000 Odense C,735000,1992-01-28,Alm. Salg,5034.0,4.0,Villa,146.0,1926.0,0.0,10.397389,55.406685
567827,Svendsgade 20,5000 Odense C,810000,1992-01-24,Alm. Salg,6279.0,5.0,Villa,129.0,1985.0,0.0,10.413876,55.396257
567828,"Kochsgade 55, ST. 6",5000 Odense C,115000,1992-01-21,Alm. Salg,3194.0,1.0,Lejlighed,36.0,1962.0,0.0,10.403131,55.405017
567829,Mads Hansens Vej 11,5000 Odense C,768600,1992-01-15,Alm. Salg,5193.0,6.0,Villa,148.0,1922.0,0.0,10.359299,55.398728
567830,"Filosofgangen 14, 2",5000 Odense C,1300000,1992-01-13,Alm. Salg,13000.0,3.0,Lejlighed,100.0,1899.0,0.0,10.385059,55.393019
567831,Skippervænget 4,5000 Odense C,375000,1992-01-10,Alm. Salg,,4.0,Rækkehus,117.0,1810.0,0.0,10.416111,55.427351
567832,Sophie Breums Vej 7,5000 Odense C,510000,1992-01-10,Alm. Salg,,4.0,Villa,131.0,1934.0,0.0,10.39587,55.407801
567833,Døckerslundsvej 143,5000 Odense C,350000,1992-01-09,Alm. Salg,,4.0,Villa,102.0,1948.0,0.0,10.417023,55.410973
567834,"Kochsgade 8, 1. TH",5000 Odense C,98802,1992-01-09,Alm. Salg,1317.0,2.0,Lejlighed,75.0,1935.0,0.0,10.392254,55.402736
567835,"Schacksgade 26, ST. TV",5000 Odense C,377000,1992-01-08,Alm. Salg,5890.0,2.0,Lejlighed,64.0,1930.0,0.0,10.4086,55.393324
